audio_name,video_name,rand_video,list,order,paste,bad_pairs
pulling_or_joining,equal,assist,7,A,pulling_or_joining_assist,0
fighting_or_punching,touch,embrace,7,A,fighting_or_punching_embrace,0
grabbing_or_sharing,assist,diverge,7,A,grabbing_or_sharing_diverge,0
kissing_or_licking,divorce,expand,7,A,kissing_or_licking_expand,0
hugging_or_tickling,reject,divorce,7,A,hugging_or_tickling_divorce,0
hanging_or_connecting,quarrel,equal,7,A,hanging_or_connecting_equal,0
choosing_or_matching,drown,drown,7,A,choosing_or_matching_drown,0
pushing_or_separating,embrace,touch,7,A,pushing_or_separating_touch,0
meeting_or_teaching,diverge,divorce,8,A,meeting_or_teaching_divorce,0
inviting_or_marrying,expand,drown,8,A,inviting_or_marrying_drown,0
pulling_or_joining,equal,equal,8,A,pulling_or_joining_equal,0
fighting_or_punching,touch,reject,8,A,fighting_or_punching_reject,0
grabbing_or_sharing,assist,diverge,8,A,grabbing_or_sharing_diverge,0
kissing_or_licking,divorce,assist,8,A,kissing_or_licking_assist,0
hugging_or_tickling,reject,quarrel,8,A,hugging_or_tickling_quarrel,0
hanging_or_connecting,quarrel,embrace,8,A,hanging_or_connecting_embrace,0
choosing_or_matching,drown,touch,8,A,choosing_or_matching_touch,0
pushing_or_separating,embrace,expand,8,A,pushing_or_separating_expand,0
meeting_or_teaching,diverge,diverge,9,A,meeting_or_teaching_diverge,0
inviting_or_marrying,expand,drown,9,A,inviting_or_marrying_drown,0
pulling_or_joining,equal,reject,9,A,pulling_or_joining_reject,0
fighting_or_punching,touch,divorce,9,A,fighting_or_punching_divorce,0
grabbing_or_sharing,assist,equal,9,A,grabbing_or_sharing_equal,0
kissing_or_licking,divorce,expand,9,A,kissing_or_licking_expand,0
hugging_or_tickling,reject,quarrel,9,A,hugging_or_tickling_quarrel,0
hanging_or_connecting,quarrel,embrace,9,A,hanging_or_connecting_embrace,0
choosing_or_matching,drown,touch,9,A,choosing_or_matching_touch,0
pushing_or_separating,embrace,assist,9,A,pushing_or_separating_assist,0
meeting_or_teaching,diverge,equal,10,A,meeting_or_teaching_equal,0
inviting_or_marrying,expand,expand,10,A,inviting_or_marrying_expand,0
pulling_or_joining,equal,drown,10,A,pulling_or_joining_drown,0
fighting_or_punching,touch,embrace,10,A,fighting_or_punching_embrace,0
grabbing_or_sharing,assist,divorce,10,A,grabbing_or_sharing_divorce,0
kissing_or_licking,divorce,reject,10,A,kissing_or_licking_reject,0
hugging_or_tickling,reject,quarrel,10,A,hugging_or_tickling_quarrel,0
hanging_or_connecting,quarrel,diverge,10,A,hanging_or_connecting_diverge,0
choosing_or_matching,drown,touch,10,A,choosing_or_matching_touch,0
pushing_or_separating,embrace,assist,10,A,pushing_or_separating_assist,0
meeting_or_teaching,diverge,assist,11,A,meeting_or_teaching_assist,0
inviting_or_marrying,expand,reject,11,A,inviting_or_marrying_reject,0
pulling_or_joining,equal,divorce,11,A,pulling_or_joining_divorce,0
fighting_or_punching,touch,diverge,11,A,fighting_or_punching_diverge,0
grabbing_or_sharing,assist,quarrel,11,A,grabbing_or_sharing_quarrel,0
kissing_or_licking,divorce,expand,11,A,kissing_or_licking_expand,0
hugging_or_tickling,reject,drown,11,A,hugging_or_tickling_drown,0
hanging_or_connecting,quarrel,touch,11,A,hanging_or_connecting_touch,1
choosing_or_matching,drown,embrace,11,A,choosing_or_matching_embrace,0
pushing_or_separating,embrace,equal,11,A,pushing_or_separating_equal,0
meeting_or_teaching,diverge,diverge,12,A,meeting_or_teaching_diverge,0
inviting_or_marrying,expand,touch,12,A,inviting_or_marrying_touch,0
pulling_or_joining,equal,divorce,12,A,pulling_or_joining_divorce,0
fighting_or_punching,touch,drown,12,A,fighting_or_punching_drown,0
grabbing_or_sharing,assist,assist,12,A,grabbing_or_sharing_assist,0
kissing_or_licking,divorce,embrace,12,A,kissing_or_licking_embrace,0
hugging_or_tickling,reject,reject,12,A,hugging_or_tickling_reject,0
hanging_or_connecting,quarrel,expand,12,A,hanging_or_connecting_expand,0
choosing_or_matching,drown,equal,12,A,choosing_or_matching_equal,1
pushing_or_separating,embrace,quarrel,12,A,pushing_or_separating_quarrel,0
meeting_or_teaching,diverge,diverge,13,A,meeting_or_teaching_diverge,0
inviting_or_marrying,expand,quarrel,13,A,inviting_or_marrying_quarrel,0
pulling_or_joining,equal,touch,13,A,pulling_or_joining_touch,0
fighting_or_punching,touch,drown,13,A,fighting_or_punching_drown,0
grabbing_or_sharing,assist,divorce,13,A,grabbing_or_sharing_divorce,0
kissing_or_licking,divorce,assist,13,A,kissing_or_licking_assist,0
hugging_or_tickling,reject,equal,13,A,hugging_or_tickling_equal,0
hanging_or_connecting,quarrel,expand,13,A,hanging_or_connecting_expand,0
choosing_or_matching,drown,reject,13,A,choosing_or_matching_reject,0
pushing_or_separating,embrace,embrace,13,A,pushing_or_separating_embrace,0
meeting_or_teaching,diverge,diverge,14,A,meeting_or_teaching_diverge,0
inviting_or_marrying,expand,drown,14,A,inviting_or_marrying_drown,0
pulling_or_joining,equal,divorce,14,A,pulling_or_joining_divorce,0
fighting_or_punching,touch,touch,14,A,fighting_or_punching_touch,0
grabbing_or_sharing,assist,assist,14,A,grabbing_or_sharing_assist,0
kissing_or_licking,divorce,expand,14,A,kissing_or_licking_expand,0
hugging_or_tickling,reject,embrace,14,A,hugging_or_tickling_embrace,1
hanging_or_connecting,quarrel,reject,14,A,hanging_or_connecting_reject,0
choosing_or_matching,drown,quarrel,14,A,choosing_or_matching_quarrel,0
pushing_or_separating,embrace,equal,14,A,pushing_or_separating_equal,0
meeting_or_teaching,diverge,expand,15,A,meeting_or_teaching_expand,0
inviting_or_marrying,expand,assist,15,A,inviting_or_marrying_assist,0
pulling_or_joining,equal,drown,15,A,pulling_or_joining_drown,0
fighting_or_punching,touch,touch,15,A,fighting_or_punching_touch,0
grabbing_or_sharing,assist,quarrel,15,A,grabbing_or_sharing_quarrel,0
kissing_or_licking,divorce,diverge,15,A,kissing_or_licking_diverge,0
hugging_or_tickling,reject,divorce,15,A,hugging_or_tickling_divorce,0
hanging_or_connecting,quarrel,equal,15,A,hanging_or_connecting_equal,0
choosing_or_matching,drown,reject,15,A,choosing_or_matching_reject,0
pushing_or_separating,embrace,embrace,15,A,pushing_or_separating_embrace,0
meeting_or_teaching,diverge,assist,16,A,meeting_or_teaching_assist,0
inviting_or_marrying,expand,equal,16,A,inviting_or_marrying_equal,0
pulling_or_joining,equal,reject,16,A,pulling_or_joining_reject,0
fighting_or_punching,touch,divorce,16,A,fighting_or_punching_divorce,0
grabbing_or_sharing,assist,drown,16,A,grabbing_or_sharing_drown,0
kissing_or_licking,divorce,expand,16,A,kissing_or_licking_expand,0
hugging_or_tickling,reject,quarrel,16,A,hugging_or_tickling_quarrel,0
hanging_or_connecting,quarrel,embrace,16,A,hanging_or_connecting_embrace,0
choosing_or_matching,drown,touch,16,A,choosing_or_matching_touch,0
pushing_or_separating,embrace,diverge,16,A,pushing_or_separating_diverge,1
connecting_or_hanging,quarrel,expand,1,B,connecting_or_hanging_expand,0
separating_or_pushing,embrace,divorce,1,B,separating_or_pushing_divorce,1
sharing_or_grabbing,assist,quarrel,1,B,sharing_or_grabbing_quarrel,0
tickling_or_hugging,reject,assist,1,B,tickling_or_hugging_assist,0
licking_or_kissing,divorce,equal,1,B,licking_or_kissing_equal,0
matching_or_choosing,drown,touch,1,B,matching_or_choosing_touch,0
joining_or_pulling,equal,reject,1,B,joining_or_pulling_reject,0
marrying_or_inviting,expand,drown,1,B,marrying_or_inviting_drown,0
teaching_or_meeting,diverge,diverge,1,B,teaching_or_meeting_diverge,0
punching_or_fighting,touch,embrace,1,B,punching_or_fighting_embrace,0
connecting_or_hanging,quarrel,diverge,2,B,connecting_or_hanging_diverge,0
separating_or_pushing,embrace,reject,2,B,separating_or_pushing_reject,0
sharing_or_grabbing,assist,equal,2,B,sharing_or_grabbing_equal,0
tickling_or_hugging,reject,expand,2,B,tickling_or_hugging_expand,0
licking_or_kissing,divorce,touch,2,B,licking_or_kissing_touch,0
matching_or_choosing,drown,quarrel,2,B,matching_or_choosing_quarrel,0
joining_or_pulling,equal,divorce,2,B,joining_or_pulling_divorce,0
marrying_or_inviting,expand,embrace,2,B,marrying_or_inviting_embrace,0
teaching_or_meeting,diverge,drown,2,B,teaching_or_meeting_drown,0
punching_or_fighting,touch,assist,2,B,punching_or_fighting_assist,0
connecting_or_hanging,quarrel,quarrel,3,B,connecting_or_hanging_quarrel,0
separating_or_pushing,embrace,divorce,3,B,separating_or_pushing_divorce,1
sharing_or_grabbing,assist,reject,3,B,sharing_or_grabbing_reject,0
tickling_or_hugging,reject,touch,3,B,tickling_or_hugging_touch,1
licking_or_kissing,divorce,assist,3,B,licking_or_kissing_assist,0
matching_or_choosing,drown,expand,3,B,matching_or_choosing_expand,0
joining_or_pulling,equal,drown,3,B,joining_or_pulling_drown,0
marrying_or_inviting,expand,diverge,3,B,marrying_or_inviting_diverge,0
teaching_or_meeting,diverge,equal,3,B,teaching_or_meeting_equal,0
punching_or_fighting,touch,embrace,3,B,punching_or_fighting_embrace,0
connecting_or_hanging,quarrel,equal,4,B,connecting_or_hanging_equal,0
separating_or_pushing,embrace,assist,4,B,separating_or_pushing_assist,0
sharing_or_grabbing,assist,reject,4,B,sharing_or_grabbing_reject,0
tickling_or_hugging,reject,expand,4,B,tickling_or_hugging_expand,0
licking_or_kissing,divorce,touch,4,B,licking_or_kissing_touch,0
matching_or_choosing,drown,quarrel,4,B,matching_or_choosing_quarrel,0
joining_or_pulling,equal,drown,4,B,joining_or_pulling_drown,0
marrying_or_inviting,expand,diverge,4,B,marrying_or_inviting_diverge,0
teaching_or_meeting,diverge,embrace,4,B,teaching_or_meeting_embrace,0
punching_or_fighting,touch,divorce,4,B,punching_or_fighting_divorce,0
connecting_or_hanging,quarrel,reject,5,B,connecting_or_hanging_reject,0
separating_or_pushing,embrace,diverge,5,B,separating_or_pushing_diverge,1
sharing_or_grabbing,assist,assist,5,B,sharing_or_grabbing_assist,0
tickling_or_hugging,reject,drown,5,B,tickling_or_hugging_drown,0
licking_or_kissing,divorce,embrace,5,B,licking_or_kissing_embrace,0
matching_or_choosing,drown,expand,5,B,matching_or_choosing_expand,0
joining_or_pulling,equal,equal,5,B,joining_or_pulling_equal,0
marrying_or_inviting,expand,quarrel,5,B,marrying_or_inviting_quarrel,0
teaching_or_meeting,diverge,divorce,5,B,teaching_or_meeting_divorce,0
punching_or_fighting,touch,touch,5,B,punching_or_fighting_touch,0
connecting_or_hanging,quarrel,divorce,6,B,connecting_or_hanging_divorce,0
separating_or_pushing,embrace,touch,6,B,separating_or_pushing_touch,0
sharing_or_grabbing,assist,quarrel,6,B,sharing_or_grabbing_quarrel,0
tickling_or_hugging,reject,embrace,6,B,tickling_or_hugging_embrace,1
licking_or_kissing,divorce,expand,6,B,licking_or_kissing_expand,0
matching_or_choosing,drown,drown,6,B,matching_or_choosing_drown,0
joining_or_pulling,equal,diverge,6,B,joining_or_pulling_diverge,0
marrying_or_inviting,expand,reject,6,B,marrying_or_inviting_reject,0
teaching_or_meeting,diverge,equal,6,B,teaching_or_meeting_equal,0
punching_or_fighting,touch,assist,6,B,punching_or_fighting_assist,0
connecting_or_hanging,quarrel,reject,7,B,connecting_or_hanging_reject,0
separating_or_pushing,embrace,divorce,7,B,separating_or_pushing_divorce,1
sharing_or_grabbing,assist,diverge,7,B,sharing_or_grabbing_diverge,0
tickling_or_hugging,reject,embrace,7,B,tickling_or_hugging_embrace,1
licking_or_kissing,divorce,equal,7,B,licking_or_kissing_equal,0
matching_or_choosing,drown,expand,7,B,matching_or_choosing_expand,0
joining_or_pulling,equal,drown,7,B,joining_or_pulling_drown,0
marrying_or_inviting,expand,assist,7,B,marrying_or_inviting_assist,0
teaching_or_meeting,diverge,touch,7,B,teaching_or_meeting_touch,0
punching_or_fighting,touch,quarrel,7,B,punching_or_fighting_quarrel,1
connecting_or_hanging,quarrel,reject,8,B,connecting_or_hanging_reject,0
separating_or_pushing,embrace,equal,8,B,separating_or_pushing_equal,0
sharing_or_grabbing,assist,touch,8,B,sharing_or_grabbing_touch,1
tickling_or_hugging,reject,divorce,8,B,tickling_or_hugging_divorce,0
licking_or_kissing,divorce,drown,8,B,licking_or_kissing_drown,0
matching_or_choosing,drown,diverge,8,B,matching_or_choosing_diverge,0
joining_or_pulling,equal,expand,8,B,joining_or_pulling_expand,0
marrying_or_inviting,expand,embrace,8,B,marrying_or_inviting_embrace,0
teaching_or_meeting,diverge,quarrel,8,B,teaching_or_meeting_quarrel,0
punching_or_fighting,touch,assist,8,B,punching_or_fighting_assist,0
connecting_or_hanging,quarrel,drown,9,B,connecting_or_hanging_drown,0
separating_or_pushing,embrace,equal,9,B,separating_or_pushing_equal,0
sharing_or_grabbing,assist,assist,9,B,sharing_or_grabbing_assist,0
tickling_or_hugging,reject,diverge,9,B,tickling_or_hugging_diverge,0
licking_or_kissing,divorce,touch,9,B,licking_or_kissing_touch,0
matching_or_choosing,drown,embrace,9,B,matching_or_choosing_embrace,0
joining_or_pulling,equal,reject,9,B,joining_or_pulling_reject,0
marrying_or_inviting,expand,divorce,9,B,marrying_or_inviting_divorce,1
teaching_or_meeting,diverge,quarrel,9,B,teaching_or_meeting_quarrel,0
punching_or_fighting,touch,expand,9,B,punching_or_fighting_expand,0
connecting_or_hanging,quarrel,quarrel,10,B,connecting_or_hanging_quarrel,0
separating_or_pushing,embrace,reject,10,B,separating_or_pushing_reject,0
sharing_or_grabbing,assist,embrace,10,B,sharing_or_grabbing_embrace,0
tickling_or_hugging,reject,drown,10,B,tickling_or_hugging_drown,0
licking_or_kissing,divorce,assist,10,B,licking_or_kissing_assist,0
matching_or_choosing,drown,divorce,10,B,matching_or_choosing_divorce,0
joining_or_pulling,equal,expand,10,B,joining_or_pulling_expand,0
marrying_or_inviting,expand,diverge,10,B,marrying_or_inviting_diverge,0
teaching_or_meeting,diverge,touch,10,B,teaching_or_meeting_touch,0
punching_or_fighting,touch,equal,10,B,punching_or_fighting_equal,0
connecting_or_hanging,quarrel,assist,11,B,connecting_or_hanging_assist,0
separating_or_pushing,embrace,diverge,11,B,separating_or_pushing_diverge,1
sharing_or_grabbing,assist,divorce,11,B,sharing_or_grabbing_divorce,0
tickling_or_hugging,reject,reject,11,B,tickling_or_hugging_reject,0
licking_or_kissing,divorce,embrace,11,B,licking_or_kissing_embrace,0
matching_or_choosing,drown,quarrel,11,B,matching_or_choosing_quarrel,0
joining_or_pulling,equal,touch,11,B,joining_or_pulling_touch,0
marrying_or_inviting,expand,expand,11,B,marrying_or_inviting_expand,0
teaching_or_meeting,diverge,drown,11,B,teaching_or_meeting_drown,0
punching_or_fighting,touch,equal,11,B,punching_or_fighting_equal,0
connecting_or_hanging,quarrel,quarrel,12,B,connecting_or_hanging_quarrel,0
separating_or_pushing,embrace,expand,12,B,separating_or_pushing_expand,0
sharing_or_grabbing,assist,assist,12,B,sharing_or_grabbing_assist,0
tickling_or_hugging,reject,equal,12,B,tickling_or_hugging_equal,0
licking_or_kissing,divorce,embrace,12,B,licking_or_kissing_embrace,0
matching_or_choosing,drown,reject,12,B,matching_or_choosing_reject,0
joining_or_pulling,equal,divorce,12,B,joining_or_pulling_divorce,0
marrying_or_inviting,expand,diverge,12,B,marrying_or_inviting_diverge,0
teaching_or_meeting,diverge,touch,12,B,teaching_or_meeting_touch,0
punching_or_fighting,touch,drown,12,B,punching_or_fighting_drown,0
connecting_or_hanging,quarrel,assist,13,B,connecting_or_hanging_assist,0
separating_or_pushing,embrace,expand,13,B,separating_or_pushing_expand,0
sharing_or_grabbing,assist,embrace,13,B,sharing_or_grabbing_embrace,0
tickling_or_hugging,reject,diverge,13,B,tickling_or_hugging_diverge,0
licking_or_kissing,divorce,drown,13,B,licking_or_kissing_drown,0
matching_or_choosing,drown,touch,13,B,matching_or_choosing_touch,0
joining_or_pulling,equal,quarrel,13,B,joining_or_pulling_quarrel,0
marrying_or_inviting,expand,equal,13,B,marrying_or_inviting_equal,0
teaching_or_meeting,diverge,divorce,13,B,teaching_or_meeting_divorce,0
punching_or_fighting,touch,reject,13,B,punching_or_fighting_reject,0
connecting_or_hanging,quarrel,assist,14,B,connecting_or_hanging_assist,0
separating_or_pushing,embrace,reject,14,B,separating_or_pushing_reject,0
sharing_or_grabbing,assist,quarrel,14,B,sharing_or_grabbing_quarrel,0
tickling_or_hugging,reject,diverge,14,B,tickling_or_hugging_diverge,0
licking_or_kissing,divorce,drown,14,B,licking_or_kissing_drown,0
matching_or_choosing,drown,divorce,14,B,matching_or_choosing_divorce,0
joining_or_pulling,equal,embrace,14,B,joining_or_pulling_embrace,0
marrying_or_inviting,expand,expand,14,B,marrying_or_inviting_expand,0
teaching_or_meeting,diverge,touch,14,B,teaching_or_meeting_touch,0
punching_or_fighting,touch,equal,14,B,punching_or_fighting_equal,0
connecting_or_hanging,quarrel,expand,15,B,connecting_or_hanging_expand,0
separating_or_pushing,embrace,touch,15,B,separating_or_pushing_touch,0
sharing_or_grabbing,assist,drown,15,B,sharing_or_grabbing_drown,0
tickling_or_hugging,reject,assist,15,B,tickling_or_hugging_assist,0
licking_or_kissing,divorce,reject,15,B,licking_or_kissing_reject,0
matching_or_choosing,drown,divorce,15,B,matching_or_choosing_divorce,0
joining_or_pulling,equal,embrace,15,B,joining_or_pulling_embrace,0
marrying_or_inviting,expand,quarrel,15,B,marrying_or_inviting_quarrel,0
teaching_or_meeting,diverge,diverge,15,B,teaching_or_meeting_diverge,0
punching_or_fighting,touch,equal,15,B,punching_or_fighting_equal,0
connecting_or_hanging,quarrel,diverge,16,B,connecting_or_hanging_diverge,0
separating_or_pushing,embrace,expand,16,B,separating_or_pushing_expand,0
sharing_or_grabbing,assist,touch,16,B,sharing_or_grabbing_touch,1
tickling_or_hugging,reject,reject,16,B,tickling_or_hugging_reject,0
licking_or_kissing,divorce,drown,16,B,licking_or_kissing_drown,0
matching_or_choosing,drown,divorce,16,B,matching_or_choosing_divorce,0
joining_or_pulling,equal,embrace,16,B,joining_or_pulling_embrace,0
marrying_or_inviting,expand,quarrel,16,B,marrying_or_inviting_quarrel,0
teaching_or_meeting,diverge,equal,16,B,teaching_or_meeting_equal,0
punching_or_fighting,touch,assist,16,B,punching_or_fighting_assist,0
